Time,fruit,fruit,fruit,sport,sport,sport,bird,bird,bird,vehicle,vehicle,vehicle,crime,crime,crime,vegetable,vegetable,vegetable
Stamp,apple,fig,strawberry,football,hockey,wrestling,ostrich,wren,robin,boat,tricycle,car,embezzling,murder,vagrancy,parsley,carrot,onion
5/4/17 20:44,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
5/4/17 21:13,1,6,2,1,1,5,6,3,1,3,6,1,4,1,2,4,1,3
5/4/17 21:15,1,1,3,4,4,4,3,3,3,2,2,2,2,2,5,4,4,4
5/5/17 2:59,1,6,2,1,5,4,4,3,1,4,6,1,3,1,6,4,1,4
5/5/17 10:08,1,3,2,1,1,2,3,6,1,5,3,1,3,1,3,3,1,3
5/5/17 12:58,1,5,2,1,5,6,6,2,1,4,7,1,3,1,7,5,3,4
5/5/17 14:52,1,3,1,2,2,1,1,1,1,2,3,1,1,1,3,2,1,1
5/5/17 22:31,1,5,1,1,3,1,4,1,1,4,6,1,2,1,5,3,1,1
5/6/17 12:35,1,3,1,1,4,4,2,4,2,2,5,1,3,1,4,6,1,3
5/6/17 14:05,1,4,1,1,3,3,3,1,1,4,5,1,4,1,6,5,1,4
5/6/17 14:12,1,6,3,3,6,6,6,4,2,3,7,1,6,2,6,7,2,5
5/6/17 14:17,1,3,1,1,1,1,3,2,1,4,5,1,1,1,1,2,1,3
5/6/17 14:30,1,4,1,1,1,2,3,6,1,5,7,1,2,1,6,2,1,1
5/6/17 15:28,1,5,2,1,5,4,5,3,1,7,6,1,3,1,5,5,1,4
5/6/17 21:01,1,7,1,1,1,1,1,7,1,1,5,1,3,1,6,5,1,1
5/6/17 21:12,1,6,1,1,3,5,1,3,1,6,4,1,4,1,6,6,1,5
5/7/17 11:09,1,7,1,1,3,7,4,7,1,6,7,1,6,1,7,7,1,1
5/7/17 12:13,1,6,1,1,1,2,3,4,1,2,4,1,2,2,3,3,1,2
5/7/17 12:41,1,3,1,1,2,2,1,7,1,3,6,1,6,1,7,3,1,1
5/7/17 13:35,1,3,1,1,1,4,1,1,1,3,2,1,1,1,7,5,2,4
5/7/17 14:53,1,3,1,1,2,3,2,1,1,5,4,1,1,1,5,2,1,3
5/7/17 18:47,1,2,1,1,1,2,1,1,1,1,3,1,1,1,6,3,1,1
5/7/17 20:39,1,6,1,1,1,1,3,2,1,2,5,1,2,1,6,3,1,2
5/7/17 22:12,1,2,1,1,1,1,2,1,1,2,3,1,2,1,4,5,1,2
5/7/17 22:17,1,7,1,1,1,1,1,6,2,4,2,1,1,1,7,6,1,3
5/7/17 22:24,1,3,2,2,3,4,4,5,2,4,5,1,2,2,5,5,2,4
5/7/17 22:25,1,2,2,2,1,2,5,1,1,4,5,1,4,1,6,5,1,4
5/7/17 22:45,1,4,1,1,1,1,3,4,1,2,6,1,1,1,4,2,1,2
5/8/17 0:24,1,4,2,1,1,1,2,3,1,4,3,1,1,1,1,6,1,1
5/8/17 1:42,1,7,1,1,1,1,3,4,1,5,4,1,1,1,5,1,1,2
5/8/17 7:29,1,3,1,1,2,3,3,4,1,2,4,1,3,1,4,4,1,4
5/8/17 7:34,1,1,1,1,1,1,1,1,1,4,5,1,1,1,7,6,1,3
5/8/17 10:06,1,5,1,2,3,3,4,3,2,3,5,1,2,1,4,4,1,2
5/8/17 11:07,1,5,1,1,1,2,5,5,1,4,5,1,3,1,4,4,1,3
5/8/17 12:01,1,1,2,1,1,1,1,1,1,2,4,1,2,1,3,4,2,3
5/8/17 13:22,1,2,1,1,1,1,1,1,1,2,2,1,1,1,5,2,1,1
5/8/17 14:21,1,3,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,2
5/8/17 15:49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
5/8/17 17:06,1,6,3,2,3,4,6,2,2,3,6,1,3,1,2,2,2,3
5/8/17 19:09,1,2,1,1,1,1,3,2,1,1,3,1,1,1,4,2,1,2
5/8/17 19:15,1,4,1,1,1,1,2,3,1,1,2,1,2,1,3,1,1,1
5/8/17 19:45,1,5,2,1,1,2,2,1,1,1,3,1,3,1,3,1,1,1
5/8/17 19:59,1,7,2,1,5,6,2,7,1,3,7,1,5,1,7,3,1,3
5/8/17 20:04,1,2,1,1,1,2,2,1,1,2,3,1,1,1,2,3,1,3
5/8/17 20:54,1,5,1,1,3,4,5,4,2,2,5,1,3,1,3,6,2,6
5/8/17 20:58,1,4,2,1,1,3,4,6,1,1,5,1,4,1,4,5,1,2
5/8/17 21:14,2,2,1,1,3,2,2,3,2,7,4,1,2,1,3,3,1,5
5/8/17 22:04,1,7,1,1,1,1,1,1,1,1,1,1,3,2,6,1,1,1
5/8/17 23:41,1,4,3,1,3,3,5,3,1,4,6,1,1,1,6,6,2,4
5/8/17 23:55,1,3,1,1,1,1,5,2,1,3,3,1,1,1,2,5,1,2
5/9/17 0:07,1,7,1,1,2,4,1,6,1,6,6,1,2,1,6,6,1,2
5/9/17 1:19,1,6,2,3,3,4,3,4,4,6,5,1,4,1,6,3,2,3
5/9/17 10:48,1,7,3,1,6,3,3,7,1,4,7,1,3,1,7,7,1,1
5/9/17 10:49,1,3,2,1,1,2,4,1,1,3,6,1,2,1,7,1,1,1
5/9/17 11:11,1,4,1,1,1,1,4,4,1,5,6,1,4,1,7,4,1,4
5/9/17 11:25,1,2,1,1,1,2,2,1,1,5,3,1,3,1,3,3,1,2
